Sample;X(ms) [15.02.2026 04:18:44 862 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
210;1771129132679,684826;0,0321485847234726;0,171491846442223;3,69225287437439
211;1771129132741,767026;0,0325336568057537;0,171844378113747;3,71774077415466
212;1771129132805,589926;0,0329216532409191;0,171755224466324;3,7134747505188
213;1771129132867,405326;0,0333267226815224;0,17237588763237;3,68604946136475
214;1771129132929,479626;0,0337396636605263;0,174043297767639;3,67365670204163
215;1771129132991,625226;0,0341552570462227;0,175852403044701;3,66986083984375
216;1771129133054,847226;0,0345680639147758;0,176557019352913;3,67488026618958
217;1771129133117,447426;0,0349597483873367;0,176723718643188;3,71021604537964
218;1771129133179,300826;0,0353585295379162;0,177344158291817;3,69905185699463
219;1771129133243,686426;0,0357674844563007;0,178473830223083;3,68295288085938
220;1771129133304,954426;0,0361848287284374;0,180217072367668;3,66965579986572
221;1771129133367,304626;0,0365939661860466;0,181512206792831;3,68368673324585
222;1771129133429,573926;0,036994144320488;0,181702226400375;3,6989266872406
223;1771129133492,358926;0,0374009385704994;0,181730881333351;3,68860530853271
224;1771129133554,856926;0,0378200970590115;0,182400733232498;3,6688404083252
225;1771129133618,986126;0,0382564663887024;0,184134885668755;3,6409809589386
226;1771129133680,528326;0,0386746563017368;0,185240194201469;3,67130708694458
227;1771129133747,284226;0,0390814617276192;0,187004908919334;3,69052600860596
228;1771129133807,730226;0,0394702963531017;0,187584236264229;3,72058010101318
229;1771129133883,966726;0,039886936545372;0,187123626470566;3,67548227310181
230;1771129133931,632526;0,0402933731675148;0,187277764081955;3,69274377822876
231;1771129133994,071926;0,040724340826273;0,188761383295059;3,65296578407288
232;1771129134056,625726;0,0411594435572624;0,190973475575447;3,64652967453003
233;1771129134119,065426;0,041580643504858;0,192698732018471;3,66989016532898
234;1771129134181,435326;0,0419725328683853;0,193116888403893;3,71851348876953
235;1771129134245,163626;0,0423569940030575;0,193103432655334;3,73136138916016
236;1771129134305,901426;0,0427555777132511;0,193157002329826;3,70863676071167
237;1771129134368,873326;0,0431765131652355;0,194127410650253;3,67251396179199
238;1771129134430,764426;0,0436074994504452;0,195817545056343;3,65650200843811
239;1771129134492,623426;0,0440335348248482;0,197431609034538;3,66496706008911
240;1771129134556,029726;0,0444480739533901;0,197952434420586;3,68433809280396
241;1771129134619,631826;0,0448636598885059;0,198313102126122;3,68315887451172
242;1771129134681,138026;0,0452906340360641;0,199138477444649;3,66481137275696
243;1771129134743,039826;0,0457009747624397;0,199652031064034;3,69270777702332
244;1771129134806,427426;0,046118400990963;0,200897350907326;3,68154001235962
245;1771129134869,358726;0,0465251132845879;0,20172880589962;3,69956803321838
246;1771129134931,027526;0,0469375364482403;0,202572301030159;3,69076681137085
247;1771129134993,326426;0,0473554544150829;0,203122481703758;3,68213725090027
248;1771129135056,264626;0,047785323113203;0,20400096476078;3,66298985481262
249;1771129135119,939426;0,0482208169996738;0,205466881394386;3,65418767929077
250;1771129135186,882226;0,0486516915261745;0,206705257296562;3,66213321685791
251;1771129135251,926926;0,0490653924643993;0,207200303673744;3,6907901763916
252;1771129135305,825726;0,0494565926492214;0,207397013902664;3,72834420204163
253;1771129135368,341826;0,0498685613274574;0,207909628748894;3,69468927383423
254;1771129135430,736126;0,0502821542322636;0,208511546254158;3,69252753257751
255;1771129135493,324826;0,05072171241045;0,210355892777443;3,65034294128418
256;1771129135559,715226;0,0511559769511223;0,211884334683418;3,65934443473816
257;1771129135618,325826;0,0515787713229656;0,212590351700783;3,67866468429565
258;1771129135680,490826;0,051986638456583;0,212768539786339;3,70362186431885
259;1771129135742,667926;0,05237652733922;0,212846145033836;3,73373937606812
260;1771129135806,398526;0,0527846440672874;0,213306039571762;3,70430016517639
