Sample;X(ms) [24.02.2026 18:59:44 014 UTC];"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
298;1771959598098,325943;5;0,0938735976815224;0,354275912046432
299;1771959598160,591443;5;0,0941734910011292;0,35490745306015
300;1771959598223,005143;5;0,0949140712618828;0,35648375749588
301;1771959598285,743243;5;0,0955134108662605;0,357743889093399
302;1771959598348,036643;5;0,0961086079478264;0,358998745679855
303;1771959598410,446343;5;0,0967026874423027;0,360250294208527
304;1771959598475,968043;5;0,0973023697733879;0,361503630876541
305;1771959598535,929543;5;0,0977570563554764;0,362442493438721
306;1771959598598,482743;5;0,0983584895730019;0,363691776990891
307;1771959598660,926543;5;0,0986534729599953;0,364315390586853
308;1771959598723,723443;5;0,0992465540766716;0,365561813116074
309;1771959598791,127643;5;0,0998496860265732;0,366805493831635
310;1771959598848,466343;5;0,100452445447445;0,368045687675476
311;1771959598911,108843;5;0,101055786013603;0,369285881519318
312;1771959598974,210743;5;0,101653806865215;0,370523989200592
313;1771959599037,018043;5;0,102250851690769;0,371760308742523
314;1771959599099,181743;5;0,102853320538998;0,372994035482407
315;1771959599161,708143;5;0,103459991514683;0,374224543571472
316;1771959599224,505143;5;0,103761725127697;0,374839335680008
317;1771959599287,052343;5;0,10436400026083;0,376067578792572
318;1771959599349,331743;5;0,104968793690205;0,377293169498444
319;1771959599411,920843;5;0,105572141706944;0,378518581390381
320;1771959599479,920543;5;0,106178030371666;0,379741370677948
321;1771959599538,107543;5;0,106780186295509;0,380960732698441
322;1771959599599,478543;5;0,107384100556374;0,382178455591202
323;1771959599661,686043;5;0,107689186930656;0,382786720991135
324;1771959599724,863143;5;0,108302339911461;0,384002655744553
325;1771959599787,261743;5;0,109060414135456;0,385518431663513
326;1771959599849,696943;5;0,109510339796543;0,386426091194153
327;1771959599912,389943;5;0,110267728567123;0,387937843799591
328;1771959599975,868343;5;0,110873483121395;0,389145135879517
329;1771959600037,596643;5;0,111333139240742;0,390049308538437
330;1771959600100,322343;5;0,111950293183327;0,391253411769867
331;1771959600162,718543;5;0,112255446612835;0,391854733228683
332;1771959600225,055343;5;0,112859204411507;0,393054932355881
333;1771959600288,656043;5;0,11346460133791;0,394253224134445
334;1771959600350,156243;5;0,114075943827629;0,395450443029404
335;1771959600412,383443;5;0,114685036242008;0,396645367145538
336;1771959600475,228643;5;0,115296594798565;0,397838711738586
337;1771959600537,686543;5;0,116063423454762;0,399326950311661
338;1771959600600,358443;5;0,116521924734116;0,400218635797501
339;1771959600662,922043;5;0,11690603941679;0,400960981845856
340;1771959600725,674643;5;0,117519080638885;0,402146607637405
341;1771959600788,123343;5;0,118126258254051;0,403330653905869
342;1771959600851,503943;5;0,118740178644657;0,404513388872147
343;1771959600913,733043;5;0,119511224329472;0,405988782644272
344;1771959600975,902243;5;0,119971171021461;0,406872361898422
345;1771959601038,702643;5;0,120735853910446;0,408342748880386
